recordType,section,command_id,label,path,description,phrasesKeywords,actionType,stateKey,setValue
route,personal,settings.profile,Profile,/settings/profile,"Manage profile information, display name, avatar, email address, biography, and profile visibility.","open profile settings, go to profile, edit my profile, manage profile, change my profile, profile page, personal profile settings, update my public profile, where can I edit my profile, my profile",navigate,null,null
section,personal,settings.profile.profile_information,Profile information,/settings/profile,"Edit your display name, email address, and biography.","profile information, personal information, edit profile information, change my profile details, update my personal details, account profile information, edit my name and email",focus,null,null
field,personal,settings.profile.display_name,Display name,/settings/profile,"Change the display name shown across the workspace.","change display name, edit display name, update my name, change my name, rename myself, set my display name, my name is wrong, change profile name, what is my display name",focus,displayName,null
field,personal,settings.profile.email_address,Email address,/settings/profile,"Update the email address associated with your profile.","change email address, update email, edit my email, change account email, set my email, update profile email, change my email address, modify my email",focus,emailAddress,null
field,personal,settings.profile.bio,Bio,/settings/profile,"Edit the short biography visible on your profile.","change bio, edit bio, update my biography, change profile description, edit profile description, add a short bio, change about me, update public bio, write a bio, profile bio",focus,bio,null
action,personal,settings.profile.avatar,Upload photo,/settings/profile,"Upload or change your profile photo or avatar.","upload profile photo, change profile picture, change avatar, upload avatar, edit profile image, change my photo, set profile picture, update my avatar, new profile photo",open,avatar,null
toggle,personal,settings.profile.public_visibility.enable,Make profile visible to everyone,/settings/profile,"Make your profile visible to everyone on the workspace.","make profile visible to everyone, make my profile public, show my profile to everyone, enable public profile, turn on profile visibility, make profile public, set profile to public, public profile",toggle,isPublicProfile,true
toggle,personal,settings.profile.public_visibility.disable,Hide profile from everyone,/settings/profile,"Hide your profile from everyone on the workspace.","hide my profile, make profile private, disable public profile, turn off profile visibility, do not show my profile, hide public profile, set profile to private, make profile invisible, private profile",toggle,isPublicProfile,false
action,personal,settings.profile.save,Save profile,/settings/profile,"Save all pending changes to your profile.","save profile, save my profile, apply profile changes, confirm profile changes, update profile, save changes, save profile settings, update profile now",submit,null,null
route,personal,settings.appearance,Appearance,/settings/appearance,"Customize the theme, density, and accent color of the interface.","open appearance settings, go to appearance, change theme, customize appearance, change color scheme, appearance settings, theme settings, customize look and feel, change how the app looks",navigate,null,null
section,personal,settings.appearance.theme_density,Theme and density,/settings/appearance,"Choose between light, dark, or system theme and adjust spacing density.","theme and density, appearance options, change theme, adjust density, pick theme, light dark mode, change spacing, interface options",focus,null,null
select,personal,settings.appearance.theme,Theme,/settings/appearance,"Change the color theme between light, dark, or system default.","change theme, switch theme, pick theme, set theme, choose light or dark mode, toggle dark mode, change color theme, switch to dark mode, switch to light mode, use system theme, dark mode, light mode",focus,theme,null
select,personal,settings.appearance.density,Density,/settings/appearance,"Adjust the interface spacing between comfortable or compact.","change density, adjust spacing, switch to compact, switch to comfortable, make UI denser, reduce spacing, increase spacing, change layout density, compact mode",focus,density,null
select,personal,settings.appearance.accent,Accent color,/settings/appearance,"Pick a custom accent color for buttons and highlights.","change accent color, pick accent, set accent color, choose color, customize accent, change highlight color, pick brand color, select accent, accent colour",focus,accent,null
